"colh"
204,75
264,49
112,35
193,59
195,52
138,85
180,66
225,26
161,94
201,82
175,25
201,23
163,49
133,27
173,9
131,52
156,1
199,97
212,18
191,14
178,9
159,99
186,41
217,12
193,76
133,03
137,82
195,56
164,47
131,4
190,76
130,76
180,06
86,44
162,38
194,24
145,3
169,55
169,69
173,93
119,05
162,88
168,44
216,21
185,79
172,4
194,64
170,34
125,95
149,89
209,14
205,3
218,34
164,57
144,8
221,72
194,85
191,43
135,42
154,34
115,89
192,92
137,63
178,86
130,18
162,23
181,78
127,12
187,82
186,45
159,42
184,9
144,15
182,11
145,31
165,78
176,14
180,71
151,49
162,42
183,68
168,72
213,68
127,85
148,55
129,32
170,48
201,25
172,8
201,63
201,76
156,76
108,43
183,34
164,88
186,95
