"colm"
180,02
167,88
125,48
220,73
178,6
203,1
214,23
171,68
206,57
147,91
194,52
203,27
202,01
164,54
148,91
166,75
183,75
222,29
129,78
194,58
193,32
148,65
205,06
208,63
172,69
200,49
173,17
142,8
210,9
179,02
164,97
193,6
167,97
95,98
171,71
146,44
245,66
188,33
153,44
169,73
206,72
182,32
185,14
221,74
145,67
164,49
173,97
192,83
255,91
218,46
211,74
202,8
208,42
218,05
182,61
178,41
160,13
135,34
146,77
120,12
135,18
155,65
145,72
154,51
253,02
185,75
196,63
244,57
189,67
193,94
120,83
206,47
191,54
200,79
155,31
159,09
171,82
220,92
174,77
178,01
184,22
172,94
183,34
160,09
186,93
